tweet,date,city,user_location,id,link
@zephyr7755_ Congrats !,2023-04-24 11:30:04+00:00,Burundi,Makima,1650462104657469443,https://twitter.com/i/web/status/1650462104657469443
"@NBSportUg @JohnVianneyNsim 1.The evolution of volleyball in Uganda.
2. Who is the favorite to take this current national league between sport-S and UCU, looking at their past encounter",2023-04-24 11:29:55+00:00,Burundi,Arua,1650462065251741697,https://twitter.com/i/web/status/1650462065251741697
@ESPNFC Ofcourse Arnold,2023-04-24 11:29:45+00:00,Burundi,"Arua, Uganda",1650462023463960582,https://twitter.com/i/web/status/1650462023463960582
@iam_jamesE1 How will understand that our people are being killed without seeing such,2023-04-24 11:29:43+00:00,Burundi,Gulu City,1650462015272484864,https://twitter.com/i/web/status/1650462015272484864
"@MinofHealthUG Will it be free of charge?
Or
At a cost?",2023-04-24 11:29:11+00:00,Burundi,"Gulu, Uganda",1650461880509423617,https://twitter.com/i/web/status/1650461880509423617
@kazi59 @Vinnegal Leave me alone 😩,2023-04-24 11:28:41+00:00,Burundi,Makima,1650461757037756416,https://twitter.com/i/web/status/1650461757037756416
"FreeAd: I know you have taken honey before but do you know how it feels like taking honey that has a ginger flavour in need, ohkay let's even forget about the taste, do you know the nutrients and health values in have both herbs combined hehee 😉 let me laugh small. #GlowiHoney https://t.co/HB6YNqAyCS",2023-04-24 11:28:37+00:00,Burundi,"Arua, Uganda",1650461739601870848,https://twitter.com/i/web/status/1650461739601870848
@iam_jamesE1 @andrewgum22 Relax,2023-04-24 11:27:37+00:00,Burundi,"Gulu, Uganda",1650461486437867524,https://twitter.com/i/web/status/1650461486437867524
@jersey_ville_ug @davidbujjadda @Felsie15 @NzePatoh @IamHaxx @NzeEkirungi @bamwinejnr this or the one in the 3rd frame. How much? https://t.co/C5eIwJPacu,2023-04-24 11:27:26+00:00,Burundi,"Gulu, Uganda",1650461443387453441,https://twitter.com/i/web/status/1650461443387453441
"@DailyMonitor Sorry for that, but the district should put it in their development plans.",2023-04-24 11:27:14+00:00,Burundi,"Gulu, Uganda",1650461393127194624,https://twitter.com/i/web/status/1650461393127194624
@Ankunda_Barbie Can you please include pictures of the medical and surgical wards as well. Those are some of the oldest buildings in uganda,2023-04-24 11:27:01+00:00,Burundi,Arua,1650461338525679618,https://twitter.com/i/web/status/1650461338525679618
@MugenyiHenry_ @NalukwagoJudith #Deploymedicalinterns with pay @MinofHealthUG.,2023-04-24 11:25:34+00:00,Burundi,"Gulu, UGanda",1650460972794933248,https://twitter.com/i/web/status/1650460972794933248
@SpireJim @MinofHealthUG I haven't witnessed any form of installation as far as Gulu RRH is concerned and lacor respectively! There's no change in the entire facilities #UgandaHealthExhibition,2023-04-24 11:24:40+00:00,Burundi,"Gulu, Uganda",1650460746839384065,https://twitter.com/i/web/status/1650460746839384065
@nilepostnews @francis_isano #Deploymedicalinterns  with timely allowances @MinofHealthUG .Health workers are not slaves https://t.co/dsWkW4Tujf,2023-04-24 11:24:17+00:00,Burundi,"Gulu, UGanda",1650460647484801026,https://twitter.com/i/web/status/1650460647484801026
"@HuduHussein @KagutaMuseveni @GovUganda @MinofHealthUG @SpireJim So the people are given some dust from the pabers, and they get healed? I mean, ""there's challenges with provision of medicine, but infrastructures are good."" Seems like it's true that you got 27% at LDC",2023-04-24 11:23:46+00:00,Burundi,"Nebbi, Uganda",1650460521135570944,https://twitter.com/i/web/status/1650460521135570944
@francis_isano #Deploymedicalinterns with allowances @MinofHealthUG https://t.co/olRPrjuJBr,2023-04-24 11:22:52+00:00,Burundi,"Gulu, UGanda",1650460292722094082,https://twitter.com/i/web/status/1650460292722094082
@SuunaKing_James @AmosLugoloobi I wish we could deny them getting medication from abroad such that they can taste the hospitals of Uganda too,2023-04-24 11:22:23+00:00,Burundi,"Gulu, Uganda ",1650460169321553926,https://twitter.com/i/web/status/1650460169321553926
@GodwinTOKO #Deploymedicalinterns  @MinofHealthUG  with pay,2023-04-24 11:20:31+00:00,Burundi,"Gulu, UGanda",1650459699769221121,https://twitter.com/i/web/status/1650459699769221121
@enockk256 Grilling my own chicken . Looking forward to making yorhurt from family farm once the rains stabilize and we start milking https://t.co/jmjRbiyesy,2023-04-24 11:18:53+00:00,Burundi,kampala,1650459289436258304,https://twitter.com/i/web/status/1650459289436258304
@jjyratv melvin,2023-04-24 11:18:47+00:00,Burundi,abim,1650459263935070210,https://twitter.com/i/web/status/1650459263935070210
@BrianAsha5 😹😹😹😹 the Head Brian and they legs are all yours,2023-04-24 11:18:44+00:00,Burundi,"Arua, Uganda",1650459250936750080,https://twitter.com/i/web/status/1650459250936750080
